??	__DELETE__
...	__DELETE__
1.1.5.5	__DELETE__
1000 Genomes Project	1000 Genomes Project
1000 Genomes Project (Phase3v5)	1000 Genomes Project
1000 Genomes Project Phase3v5	1000 Genomes Project
African	African
American	American
asian	Asian
Asian	Asian
AYA generation	__DELETE__
Balti	__DELETE__
Balti people	Balti people
Biobank Japan	BioBank Japan
BioBank Japan	
British	British
C	__DELETE__
C0	__DELETE__
Canadian	Canadian
Caucasian	European
cell_line	__DELETE__
cell_type	__DELETE__
Chrysanthemum	__DELETE__
DESCRIPTION	__DELETE__
east asian	East Asian
East Asian	East Asian
European	European
Finnish	Finnish
global	
global (1000 Genomes Project Phase3v5)	
H	__DELETE__
Han Chinese	Han Chinese
HGDP	
human	__DELETE__
J. H. G	__DELETE__
Japan	Japanese
japanese	Japanese
Japanese	Japanese
Japanese (BioBank Japan)	Japanese
japanese cohort of the genome Cohort Study of the Tohoku Medical Megabank Organization (ToMMo) 	Japanese
Japanese in Tokyo, Japan	Japanese
Japanese in Tokyo, Japan (JPT)	Japanese
Jomon	
K-40.2	__DELETE__
Kashiwa-no-ha area	Japanese
Korean	Korean
M	__DELETE__
Mouse	__DELETE__
multi-ethnic	
Nagahama Cohort	
Native American	
NBDC	__DELETE__
non-AYA generation	__DELETE__
North Eurasian	
Other	Other
pediatric	__DELETE__
Ryukyu	Ryukyu
SGDP	
test	__DELETE__
Thai	Thai
TITLE	__DELETE__
UK	UK
UK population	British
Vietnamese	Vietnamese
Western	European
White	White
WS(ICD10: Q253): 6 cases	__DELETE__
Z	__DELETE__
患者	__DELETE__
日本人	Japanese
